naics_code,kind_of_business,sales_month,sales
,"Retail and food services sales, total",1/1/24,637342
,"Retail and food services sales, total",2/1/24,644825
,"Retail and food services sales, total",3/1/24,707637
,"Retail and food services sales, total",4/1/24,700302
,"Retail and food services sales, total",5/1/24,744554
,"Retail and food services sales, total",6/1/24,701555
,"Retail and food services sales, total",7/1/24,726098
,"Retail and food services sales, total",8/1/24,733560
,"Retail and food services sales, total",9/1/24,683558
,"Retail and food services sales, total",10/1/24,730720
,"Retail and food services sales, total",11/1/24,736461
,"Retail and food services sales, total",12/1/24,801294
,Retail sales and food services excl motor vehicle and parts,1/1/24,519395
,Retail sales and food services excl motor vehicle and parts,2/1/24,518529
,Retail sales and food services excl motor vehicle and parts,3/1/24,567110
,Retail sales and food services excl motor vehicle and parts,4/1/24,561592
,Retail sales and food services excl motor vehicle and parts,5/1/24,599690
,Retail sales and food services excl motor vehicle and parts,6/1/24,570931
,Retail sales and food services excl motor vehicle and parts,7/1/24,585742
,Retail sales and food services excl motor vehicle and parts,8/1/24,590123
,Retail sales and food services excl motor vehicle and parts,9/1/24,555090
,Retail sales and food services excl motor vehicle and parts,10/1/24,592932
,Retail sales and food services excl motor vehicle and parts,11/1/24,602249
,Retail sales and food services excl motor vehicle and parts,12/1/24,661017
,Retail sales and food services excl gasoline stations,1/1/24,590937
,Retail sales and food services excl gasoline stations,2/1/24,597462
,Retail sales and food services excl gasoline stations,3/1/24,654589
,Retail sales and food services excl gasoline stations,4/1/24,645366
,Retail sales and food services excl gasoline stations,5/1/24,686946
,Retail sales and food services excl gasoline stations,6/1/24,646232
,Retail sales and food services excl gasoline stations,7/1/24,668631
,Retail sales and food services excl gasoline stations,8/1/24,676701
,Retail sales and food services excl gasoline stations,9/1/24,632095
,Retail sales and food services excl gasoline stations,10/1/24,676690
,Retail sales and food services excl gasoline stations,11/1/24,687273
,Retail sales and food services excl gasoline stations,12/1/24,752889
,Retail sales and food services excl motor vehicle and parts and gasoline stations,1/1/24,472990
,Retail sales and food services excl motor vehicle and parts and gasoline stations,2/1/24,471166
,Retail sales and food services excl motor vehicle and parts and gasoline stations,3/1/24,514062
,Retail sales and food services excl motor vehicle and parts and gasoline stations,4/1/24,506656
,Retail sales and food services excl motor vehicle and parts and gasoline stations,5/1/24,542082
,Retail sales and food services excl motor vehicle and parts and gasoline stations,6/1/24,515608
,Retail sales and food services excl motor vehicle and parts and gasoline stations,7/1/24,528275
,Retail sales and food services excl motor vehicle and parts and gasoline stations,8/1/24,533264
,Retail sales and food services excl motor vehicle and parts and gasoline stations,9/1/24,503627
,Retail sales and food services excl motor vehicle and parts and gasoline stations,10/1/24,538902
,Retail sales and food services excl motor vehicle and parts and gasoline stations,11/1/24,553061
,Retail sales and food services excl motor vehicle and parts and gasoline stations,12/1/24,612612
,"Retail sales, total",1/1/24,552441
,"Retail sales, total",2/1/24,555528
,"Retail sales, total",3/1/24,609462
,"Retail sales, total",4/1/24,605419
,"Retail sales, total",5/1/24,643843
,"Retail sales, total",6/1/24,604360
,"Retail sales, total",7/1/24,629309
,"Retail sales, total",8/1/24,633664
,"Retail sales, total",9/1/24,589777
,"Retail sales, total",10/1/24,633013
,"Retail sales, total",11/1/24,641949
,"Retail sales, total",12/1/24,703832
,"Retail sales, total (excl. motor vehicle and parts dealers)",1/1/24,434494
,"Retail sales, total (excl. motor vehicle and parts dealers)",2/1/24,429232
,"Retail sales, total (excl. motor vehicle and parts dealers)",3/1/24,468935
,"Retail sales, total (excl. motor vehicle and parts dealers)",4/1/24,466709
,"Retail sales, total (excl. motor vehicle and parts dealers)",5/1/24,498979
,"Retail sales, total (excl. motor vehicle and parts dealers)",6/1/24,473736
,"Retail sales, total (excl. motor vehicle and parts dealers)",7/1/24,488953
,"Retail sales, total (excl. motor vehicle and parts dealers)",8/1/24,490227
,"Retail sales, total (excl. motor vehicle and parts dealers)",9/1/24,461309
,"Retail sales, total (excl. motor vehicle and parts dealers)",10/1/24,495225
,"Retail sales, total (excl. motor vehicle and parts dealers)",11/1/24,507737
,"Retail sales, total (excl. motor vehicle and parts dealers)",12/1/24,563555
,GAFO(1),1/1/24,111547
,GAFO(1),2/1/24,115707
,GAFO(1),3/1/24,129000
,GAFO(1),4/1/24,121802
,GAFO(1),5/1/24,134944
,GAFO(1),6/1/24,129215
,GAFO(1),7/1/24,129958
,GAFO(1),8/1/24,137230
,GAFO(1),9/1/24,123313
,GAFO(1),10/1/24,131388
,GAFO(1),11/1/24,144400
,GAFO(1),12/1/24,172895
441,Motor vehicle and parts dealers,1/1/24,117947
441,Motor vehicle and parts dealers,2/1/24,126296
441,Motor vehicle and parts dealers,3/1/24,140527
441,Motor vehicle and parts dealers,4/1/24,138710
441,Motor vehicle and parts dealers,5/1/24,144864
441,Motor vehicle and parts dealers,6/1/24,130624
441,Motor vehicle and parts dealers,7/1/24,140356
441,Motor vehicle and parts dealers,8/1/24,143437
441,Motor vehicle and parts dealers,9/1/24,128468
441,Motor vehicle and parts dealers,10/1/24,137788
441,Motor vehicle and parts dealers,11/1/24,134212
441,Motor vehicle and parts dealers,12/1/24,140277
"4411,4412",Automobile and other motor vehicle dealers,1/1/24,107366
"4411,4412",Automobile and other motor vehicle dealers,2/1/24,115944
"4411,4412",Automobile and other motor vehicle dealers,3/1/24,128903
"4411,4412",Automobile and other motor vehicle dealers,4/1/24,126921
"4411,4412",Automobile and other motor vehicle dealers,5/1/24,132656
"4411,4412",Automobile and other motor vehicle dealers,6/1/24,118881
"4411,4412",Automobile and other motor vehicle dealers,7/1/24,128325
"4411,4412",Automobile and other motor vehicle dealers,8/1/24,131084
"4411,4412",Automobile and other motor vehicle dealers,9/1/24,117141
"4411,4412",Automobile and other motor vehicle dealers,10/1/24,125638
"4411,4412",Automobile and other motor vehicle dealers,11/1/24,122931
"4411,4412",Automobile and other motor vehicle dealers,12/1/24,129378
4411,Automobile dealers,1/1/24,102376
4411,Automobile dealers,2/1/24,109399
4411,Automobile dealers,3/1/24,119945
4411,Automobile dealers,4/1/24,117827
4411,Automobile dealers,5/1/24,122586
4411,Automobile dealers,6/1/24,109412
4411,Automobile dealers,7/1/24,119163
4411,Automobile dealers,8/1/24,122688
4411,Automobile dealers,9/1/24,109901
4411,Automobile dealers,10/1/24,118498
4411,Automobile dealers,11/1/24,116754
4411,Automobile dealers,12/1/24,123587
44111,New car dealers,1/1/24,90514
44111,New car dealers,2/1/24,95883
44111,New car dealers,3/1/24,105692
44111,New car dealers,4/1/24,103876
44111,New car dealers,5/1/24,108436
44111,New car dealers,6/1/24,96318
44111,New car dealers,7/1/24,105392
44111,New car dealers,8/1/24,108560
44111,New car dealers,9/1/24,96915
44111,New car dealers,10/1/24,105358
44111,New car dealers,11/1/24,104327
44111,New car dealers,12/1/24,111285
44112,Used car dealers,1/1/24,11862
44112,Used car dealers,2/1/24,13516
44112,Used car dealers,3/1/24,14253
44112,Used car dealers,4/1/24,13951
44112,Used car dealers,5/1/24,14150
44112,Used car dealers,6/1/24,13094
44112,Used car dealers,7/1/24,13771
44112,Used car dealers,8/1/24,14128
44112,Used car dealers,9/1/24,12986
44112,Used car dealers,10/1/24,13140
44112,Used car dealers,11/1/24,12427
44112,Used car dealers,12/1/24,12302
4413,"Automotive parts, acc., and tire stores",1/1/24,10581
4413,"Automotive parts, acc., and tire stores",2/1/24,10352
4413,"Automotive parts, acc., and tire stores",3/1/24,11624
4413,"Automotive parts, acc., and tire stores",4/1/24,11789
4413,"Automotive parts, acc., and tire stores",5/1/24,12208
4413,"Automotive parts, acc., and tire stores",6/1/24,11743
4413,"Automotive parts, acc., and tire stores",7/1/24,12031
4413,"Automotive parts, acc., and tire stores",8/1/24,12353
4413,"Automotive parts, acc., and tire stores",9/1/24,11327
4413,"Automotive parts, acc., and tire stores",10/1/24,12150
4413,"Automotive parts, acc., and tire stores",11/1/24,11281
4413,"Automotive parts, acc., and tire stores",12/1/24,10899
"442,443","Furniture, home furn, electronics, and appliance stores",1/1/24,17226
"442,443","Furniture, home furn, electronics, and appliance stores",2/1/24,17610
"442,443","Furniture, home furn, electronics, and appliance stores",3/1/24,18230
"442,443","Furniture, home furn, electronics, and appliance stores",4/1/24,17609
"442,443","Furniture, home furn, electronics, and appliance stores",5/1/24,19075
"442,443","Furniture, home furn, electronics, and appliance stores",6/1/24,18107
"442,443","Furniture, home furn, electronics, and appliance stores",7/1/24,19050
"442,443","Furniture, home furn, electronics, and appliance stores",8/1/24,19596
"442,443","Furniture, home furn, electronics, and appliance stores",9/1/24,18298
"442,443","Furniture, home furn, electronics, and appliance stores",10/1/24,18809
"442,443","Furniture, home furn, electronics, and appliance stores",11/1/24,21521
"442,443","Furniture, home furn, electronics, and appliance stores",12/1/24,23226
442,Furniture and home furnishings stores,1/1/24,10032
442,Furniture and home furnishings stores,2/1/24,10343
442,Furniture and home furnishings stores,3/1/24,11022
442,Furniture and home furnishings stores,4/1/24,10635
442,Furniture and home furnishings stores,5/1/24,11431
442,Furniture and home furnishings stores,6/1/24,10826
442,Furniture and home furnishings stores,7/1/24,11391
442,Furniture and home furnishings stores,8/1/24,11941
442,Furniture and home furnishings stores,9/1/24,11285
442,Furniture and home furnishings stores,10/1/24,11446
442,Furniture and home furnishings stores,11/1/24,12580
442,Furniture and home furnishings stores,12/1/24,12699
4421,Furniture stores,1/1/24,5589
